Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.01,.02,.05,-.03,-.14,-.25,-.18,.06,-.05,-.15,-.01,.05,-.05,***,***,-.04,-.12,-.07
1881,-.09,-.07,.09,.09,.08,-.06,-.08,-.02,-.04,-.01,-.01,.09,.00,-.01,-.04,.09,-.05,-.02
1882,.06,.07,.07,-.02,-.05,-.16,-.05,.01,-.04,.03,-.02,-.08,-.01,.00,.07,.00,-.06,-.01
1883,-.03,-.09,-.09,-.08,-.11,-.02,-.09,-.05,-.10,-.06,-.05,-.06,-.07,-.07,-.06,-.09,-.05,-.07
1884,-.09,-.06,-.11,-.22,-.32,-.29,-.22,-.06,-.11,-.07,-.11,-.16,-.15,-.14,-.07,-.22,-.19,-.09
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.22,-.19,-.13,-.12,-.10,-.25,-.25,-.20,-.33,-.33,-.14
1886,-.15,-.20,-.17,-.20,-.16,-.32,-.21,-.19,-.14,-.24,-.16,-.29,-.20,-.19,-.15,-.18,-.24,-.18
1887,-.37,-.44,-.28,-.31,-.35,-.28,-.27,-.16,-.30,-.22,-.25,-.23,-.29,-.29,-.37,-.31,-.24,-.26
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.20,-.09,-.03,.07,.07,.15,-.11,-.15,-.19,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.12,-.07,-.19,-.16,-.09,-.06,-.04,-.04,-.02,.09,.06,-.13,-.11
1890,-.21,-.32,-.33,-.35,-.43,-.32,-.32,-.38,-.37,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.34,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.23,-.16,-.11,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.06,-.14,-.21,-.23,-.37,-.25,-.20,-.12,.00,-.03,-.12,-.15,-.15,-.07,-.19,-.27,-.05
1893,-.13,-.17,-.12,-.24,-.24,-.32,-.14,-.16,-.16,-.08,-.04,-.03,-.15,-.16,-.14,-.20,-.21,-.09
1894,-.14,-.16,-.24,-.35,-.35,-.40,-.26,-.20,-.22,-.18,-.04,-.07,-.22,-.21,-.11,-.32,-.29,-.15
1895,-.13,-.06,-.16,-.25,-.24,-.21,-.14,-.06,-.17,-.11,-.20,-.05,-.15,-.15,-.08,-.22,-.14,-.16
1896,-.08,-.07,-.04,-.01,-.15,-.28,-.05,.01,-.01,.09,.12,.13,-.03,-.04,-.07,-.07,-.11,.07
1897,.09,.07,.12,.00,-.16,-.16,-.08,-.11,-.09,-.10,-.10,-.13,-.05,-.03,.10,-.01,-.11,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.30,-.33,-.35,-.25,-.32,-.26,-.20,-.26,-.26,-.13,-.30,-.32,-.27
1899,-.20,-.13,-.14,-.18,-.21,-.27,-.15,-.10,-.05,-.11,-.09,-.06,-.14,-.15,-.18,-.18,-.17,-.08
1900,-.10,.03,-.05,-.08,-.13,-.09,-.13,-.07,-.06,-.02,.00,-.10,-.07,-.06,-.04,-.08,-.10,-.02
1901,-.11,-.13,-.15,-.15,-.18,-.24,-.29,-.23,-.16,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.25,-.18
1902,-.19,-.15,-.17,-.18,-.25,-.22,-.22,-.30,-.24,-.27,-.26,-.23,-.22,-.21,-.16,-.20,-.25,-.25
