Year,Decade,NH_J-D,NH_D-N,NH_DJF,NH_MAM,NH_JJA,NH_SON,SH_J-D,SH_D-N,SH_DJF,SH_MAM,SH_JJA,SH_SON,GLOB_J-D,GLOB_D-N,GLOB_DJF,GLOB_MAM,GLOB_JJA,GLOB_SON,Zon_24N-90N,Zon_24S-24N,Zon_90S-24S,Zon_64N-90N,Zon_44N-64N,Zon_24N-44N,Zon_EQU-24N,Zon_24S-EQU,Zon_44S-24S,Zon_64S-44S,Zon_90S-64S
1880,1880,-0.3,,,-0.21,-0.22,-0.34,-0.05,,,-0.04,-0.12,-0.07,-0.18,,,-0.12,-0.17,-0.21,-0.39,-0.14,-0.02,-0.8,-0.52,-0.29,-0.17,-0.11,-0.05,0.05,0.69
1881,1880,-0.18,-0.2,-0.32,-0.01,-0.11,-0.36,0.0,-0.01,-0.04,0.09,-0.05,-0.02,-0.09,-0.1,-0.18,0.04,-0.08,-0.19,-0.35,0.09,-0.07,-0.83,-0.46,-0.2,0.08,0.1,-0.06,-0.07,0.62
1882,1880,-0.22,-0.18,0.08,-0.19,-0.25,-0.37,-0.01,0.0,0.07,0.0,-0.06,-0.01,-0.11,-0.09,0.07,-0.09,-0.16,-0.18,-0.31,-0.06,0.01,-1.33,-0.28,-0.15,-0.07,-0.05,0.01,0.04,0.65
1883,1880,-0.28,-0.33,-0.64,-0.23,-0.13,-0.3,-0.07,-0.07,-0.06,-0.09,-0.05,-0.07,-0.17,-0.2,-0.34,-0.16,-0.09,-0.19,-0.33,-0.18,-0.01,-0.12,-0.55,-0.25,-0.2,-0.16,-0.04,0.07,0.52
1884,1880,-0.43,-0.4,-0.14,-0.53,-0.44,-0.49,-0.15,-0.14,-0.07,-0.22,-0.19,-0.09,-0.28,-0.27,-0.11,-0.37,-0.31,-0.29,-0.6,-0.16,-0.14,-1.25,-0.64,-0.46,-0.14,-0.17,-0.2,-0.02,0.67
1885,1880,-0.44,-0.47,-0.65,-0.44,-0.41,-0.39,-0.25,-0.25,-0.2,-0.33,-0.33,-0.14,-0.34,-0.35,-0.41,-0.38,-0.37,-0.25,-0.65,-0.15,-0.27,-1.46,-0.69,-0.46,-0.09,-0.21,-0.34,-0.15,0.84
1886,1880,-0.44,-0.43,-0.57,-0.48,-0.33,-0.36,-0.2,-0.19,-0.15,-0.18,-0.24,-0.18,-0.32,-0.31,-0.35,-0.32,-0.28,-0.27,-0.56,-0.21,-0.21,-1.54,-0.51,-0.4,-0.24,-0.18,-0.2,-0.2,0.61
1887,1880,-0.45,-0.43,-0.67,-0.37,-0.34,-0.33,-0.29,-0.29,-0.37,-0.31,-0.24,-0.26,-0.37,-0.36,-0.52,-0.34,-0.29,-0.29,-0.52,-0.32,-0.28,-1.72,-0.5,-0.3,-0.33,-0.31,-0.28,-0.26,0.34
1888,1880,-0.25,-0.26,-0.52,-0.35,-0.09,-0.09,-0.11,-0.15,-0.19,-0.23,-0.2,0.03,-0.18,-0.2,-0.35,-0.28,-0.15,-0.03,-0.42,0.09,-0.29,-1.26,-0.44,-0.25,0.04,0.14,-0.31,-0.23,0.18
1889,1880,-0.18,-0.16,-0.09,0.02,-0.12,-0.45,-0.04,-0.02,0.09,0.06,-0.13,-0.11,-0.11,-0.09,0.01,0.04,-0.13,-0.28,-0.29,0.07,-0.16,-0.64,-0.23,-0.28,-0.01,0.15,-0.15,-0.15,0.47
