column,missing_pct
country,0.0
year,0.0
iso_code,15.73
population,18.34
gdp,69.75
cement_co2,42.13
cement_co2_per_capita,49.12
co2,41.71
co2_growth_abs,46.01
co2_growth_prct,47.95
co2_including_luc,52.8
co2_including_luc_growth_abs,53.39
co2_including_luc_growth_prct,53.39
co2_including_luc_per_capita,52.87
co2_including_luc_per_gdp,66.69
co2_including_luc_per_unit_energy,80.12
co2_per_capita,47.41
co2_per_gdp,65.23
co2_per_unit_energy,78.78
coal_co2,56.51
coal_co2_per_capita,57.72
consumption_co2,89.98
consumption_co2_per_capita,90.79
consumption_co2_per_gdp,91.18
cumulative_cement_co2,42.17
cumulative_co2,45.32
cumulative_co2_including_luc,52.8
cumulative_coal_co2,56.51
cumulative_flaring_co2,68.04
cumulative_gas_co2,64.0
cumulative_luc_co2,25.71
cumulative_oil_co2,49.5
cumulative_other_co2,93.55
energy_per_capita,79.25
energy_per_gdp,84.55
flaring_co2,67.92
flaring_co2_per_capita,70.42
gas_co2,64.0
gas_co2_per_capita,65.39
ghg_excluding_lucf_per_capita,28.9
ghg_per_capita,28.23
land_use_change_co2,25.71
land_use_change_co2_per_capita,27.33
methane,24.32
methane_per_capita,28.23
nitrous_oxide,23.63
nitrous_oxide_per_capita,27.72
oil_co2,49.5
oil_co2_per_capita,50.96
other_co2_per_capita,94.73
other_industry_co2,93.55
primary_energy_consumption,79.17
share_global_cement_co2,55.82
share_global_co2,45.32
share_global_co2_including_luc,52.8
share_global_coal_co2,56.51
share_global_cumulative_cement_co2,55.82
share_global_cumulative_co2,45.32
share_global_cumulative_co2_including_luc,52.8
share_global_cumulative_coal_co2,56.51
share_global_cumulative_flaring_co2,78.0
share_global_cumulative_gas_co2,69.91
share_global_cumulative_luc_co2,25.71
share_global_cumulative_oil_co2,52.72
share_global_cumulative_other_co2,95.7
share_global_flaring_co2,78.0
share_global_gas_co2,69.91
share_global_luc_co2,25.71
share_global_oil_co2,52.72
share_global_other_co2,95.7
share_of_temperature_change_from_ghg,18.2
temperature_change_from_ch4,24.06
temperature_change_from_co2,18.2
temperature_change_from_ghg,18.2
temperature_change_from_n2o,24.06
total_ghg,24.32
total_ghg_excluding_lucf,24.99
trade_co2,90.65
trade_co2_share,90.65
