year,month,anomaly_monthly,uncertainty_monthly,anomaly_annual,uncertainty_annual,anomaly_5yr,uncertainty_5yr,anomaly_10yr,uncertainty_10yr,anomaly_20yr,uncertainty_20yr
1850.0,1,-2.892,1.861,-0.568,0.801,506,572,481,497,460,400
1850.0,2,1.672,2.537,-0.588,0.728,511,564,467,489,467,398
1850.0,3,-1.743,2.069,-0.699,0.704,497,560,455,492,462,402
1850.0,4,0.221,1.743,-0.896,0.676,514,557,459,502,472,401
1850.0,5,-1.319,1.019,-0.775,0.596,483,568,458,503,470,398
1850.0,6,0.831,1.102,-0.687,0.736,427,577,469,503,476,396
1850.0,7,-0.182,1.068,-0.391,0.664,337,585,467,498,476,394
1850.0,8,-0.628,1.165,-0.592,0.513,402,554,448,493,484,393
1850.0,9,-1.630,0.994,-0.536,0.437,452,564,446,481,486,390
1850.0,10,-2.351,1.268,-0.566,0.422,476,565,439,481,479,390
1850.0,11,0.366,2.559,-0.622,0.472,508,571,457,482,486,388
1850.0,12,-0.588,2.189,-0.644,0.471,522,575,481,486,477,384
1851.0,1,0.660,0.938,-0.697,0.486,527,553,482,465,481,388
1851.0,2,-0.735,1.403,-0.626,0.522,518,553,491,473,474,394
1851.0,3,-1.074,1.090,-0.651,0.592,522,555,505,477,476,398
1851.0,4,-0.137,1.422,-0.486,0.557,523,552,504,465,477,394
1851.0,5,-2.001,1.509,-0.783,0.522,511,540,521,461,486,394
1851.0,6,0.575,1.161,-0.911,0.594,566,525,541,449,479,389
1851.0,7,-0.823,0.941,-0.889,0.660,581,521,556,435,476,385
1851.0,8,0.231,0.932,-0.870,0.641,626,507,556,437,467,383
1851.0,9,-1.932,1.264,-0.906,0.722,612,490,576,436,469,381
1851.0,10,-0.374,1.662,-0.940,0.694,573,509,573,431,463,379
1851.0,11,-3.195,1.357,-0.769,0.717,589,505,585,420,462,377
1851.0,12,-2.126,1.729,-0.878,0.723,628,489,559,418,465,372
1852.0,1,0.923,1.462,-0.682,0.743,632,487,566,415,454,382
1852.0,2,-0.513,1.477,-0.726,0.747,634,487,564,424,451,382
1852.0,3,-1.505,1.466,-0.630,0.748,626,481,559,427,448,385
