Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1850,-2.892,1.672,-1.743,0.221,-1.319,0.831,-0.182,-0.628,-1.63,-2.351,0.366,-0.588,-0.6869166666666667,,,-0.9470000000000001,0.007000000000000006,-1.2049999999999998
1851,0.66,-0.735,-1.074,-0.137,-2.001,0.575,-0.823,0.231,-1.932,-0.374,-3.195,-2.126,-0.9109166666666666,-0.78275,-0.22099999999999997,-1.0706666666666667,-0.005666666666666663,-1.8336666666666666
1852,0.923,-0.513,-1.505,-0.546,0.058,-0.731,1.522,-0.294,-0.774,-1.276,2.077,2.192,0.0944166666666667,-0.26541666666666663,-0.572,-0.6643333333333333,0.16566666666666668,0.009000000000000044
1853,1.63,-2.812,-3.363,-0.777,-0.856,-0.836,-0.18,0.04,-1.185,-0.476,-0.768,-3.379,-1.0801666666666667,-0.6159166666666667,0.3366666666666667,-1.665333333333333,-0.3253333333333333,-0.8096666666666668
1854,-0.299,-1.658,-0.181,0.628,-0.659,-1.199,-0.129,-0.544,0.181,-0.058,-1.69,-0.13,-0.4781666666666666,-0.7489166666666667,-1.7786666666666668,-0.07066666666666667,-0.624,-0.5223333333333333
1855,-2.522,-1.91,-1.468,-0.388,-1.719,-0.979,-0.337,0.46,-0.253,0.272,-1.643,-2.802,-1.1074166666666665,-0.8847499999999999,-1.5206666666666664,-1.1916666666666667,-0.2853333333333334,-0.5413333333333333
1856,1.228,0.54,-0.75,0.352,-1.533,0.172,-0.32,1.226,-1.508,-0.23,-2.032,-0.41,-0.27208333333333334,-0.47141666666666665,-0.3446666666666667,-0.6436666666666667,0.3593333333333333,-1.2566666666666666
1857,-1.365,-1.203,-0.802,-0.848,-0.286,0.179,1.031,0.753,0.48,0.289,0.433,0.004,-0.11124999999999996,-0.14574999999999996,-0.9926666666666666,-0.6453333333333333,0.6543333333333333,0.40066666666666667
1858,-2.678,-1.489,-0.972,1.298,-1.116,2.334,-0.99,-0.616,0.764,-0.209,-2.103,-0.333,-0.5091666666666665,-0.4810833333333333,-1.3876666666666668,-0.26333333333333336,0.2426666666666667,-0.516
1859,-0.61,0.327,0.927,0.532,0.101,0.363,2.78,1.569,-0.339,0.596,-0.706,-2.37,0.2641666666666666,0.43391666666666656,-0.20533333333333337,0.52,1.5706666666666667,-0.14966666666666667
1860,1.146,-2.816,-1.792,-1.651,0.685,-0.761,-1.427,-1.549,-1.654,-0.62,-1.313,-1.213,-1.0804166666666666,-1.1768333333333334,-1.3466666666666667,-0.9193333333333333,-1.2456666666666667,-1.1956666666666667
